scan_date,project_key,branch,type,severity,file,line,message,rule,status,effort,debt,tags
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/export/CsvExportService.java,536,Sensitive data logged to console (password field visible),java:S2068,OPEN,36min,36min,"security,owasp-a9"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MINOR,src/config/SecurityConfig.java,869,CSRF protection disabled on non-GET endpoint,java:S4502,REOPENED,29min,29min,security
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/api/CategoryController.java,803,Duplicate code block found in 4 locations,java:S1192,OPEN,49min,49min,"maintainability,duplication"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/notification/EmailService.java,502,Optional.get() called without isPresent() check,java:S3655,REOPENED,20min,20min,"bug,null-pointer"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/catalog/ProductRepository.java,458,Class has 847 lines of code (threshold: 600),java:S2972,OPEN,70min,1h 10min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/sync/ExternalSyncJob.java,18,Incorrect equals() implementation breaks Set deduplication,java:S2162,OPEN,39min,39min,bug
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/catalog/CategoryService.java,539,Unused private field 'tempCache' should be removed,java:S1068,OPEN,5min,5min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MINOR,src/enrichment/AiEnrichmentService.java,288,Weak hash algorithm MD5 used for product fingerprinting,java:S4790,OPEN,44min,44min,"security,cryptography"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/export/CsvExportService.java,583,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,7min,7min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/config/SecurityConfig.java,188,Duplicate code block found in 4 locations,java:S1192,OPEN,51min,51min,"maintainability,duplication"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/model/Variant.java,846,Thread-unsafe static field modified in multi-threaded context,java:S2885,CONFIRMED,45min,45min,"bug,multi-threading"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/model/Category.java,510,Optional.get() called without isPresent() check,java:S3655,OPEN,23min,23min,"bug,null-pointer"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/auth/JwtAuthFilter.java,621,Magic number 86400 should be extracted as a named constant,java:S109,OPEN,5min,5min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/api/CategoryController.java,223,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,41min,41min,"bug,multi-threading"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/export/PdfExportService.java,323,Deserialization of user-controlled data without validation,java:S4508,OPEN,57min,57min,"security,deserialization"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/enrichment/AiEnrichmentService.java,503,TODO comment should be resolved before merging,java:S1135,CONFIRMED,13min,13min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/model/Attribute.java,61,Integer overflow risk in price calculation,java:S2184,REOPENED,20min,20min,"bug,numeric"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/export/CsvExportService.java,854,Cyclomatic complexity 28 exceeds threshold of 20,java:S1541,OPEN,50min,50min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/export/PdfExportService.java,281,Incorrect equals() implementation breaks Set deduplication,java:S2162,OPEN,23min,23min,bug
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/pricing/PricingCalculator.java,495,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,7min,7min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/batch/ProductImportJob.java,557,@Transactional annotation ignored on private method,java:S2229,OPEN,36min,36min,"bug,spring"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,CRITICAL,src/search/ElasticSearchService.java,523,Resource leak: InputStream opened but never closed,java:S2095,CONFIRMED,53min,53min,"bug,resource-leak"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/api/AttributeController.java,236,Duplicate code block found in 4 locations,java:S1192,CONFIRMED,51min,51min,"maintainability,duplication"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/enrichment/ImageProcessingService.java,420,Magic number 86400 should be extracted as a named constant,java:S109,REOPENED,23min,23min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/model/Category.java,335,Race condition in cache invalidation — shared state not synchronized,java:S2276,OPEN,54min,54min,"bug,concurrency"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/catalog/ProductCatalogService.java,725,HTTP response splitting vulnerability in header value,java:S5131,REOPENED,53min,53min,"security,injection"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/config/DatabaseConfig.java,142,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,43min,43min,"bug,multi-threading"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/export/PdfExportService.java,886,Deserialization of user-controlled data without validation,java:S4508,OPEN,65min,1h 5min,"security,deserialization"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/catalog/CategoryService.java,186,@Transactional annotation ignored on private method,java:S2229,OPEN,43min,43min,"bug,spring"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/auth/UserService.java,471,StringBuilder in loop creates unnecessary object churn,java:S1643,OPEN,6min,6min,performance
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,CRITICAL,src/model/Attribute.java,822,NullPointerException risk: return value of getProduct() not checked,java:S2259,REOPENED,31min,31min,"bug,null-pointer"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/catalog/ProductCatalogService.java,867,Incorrect equals() implementation breaks Set deduplication,java:S2162,CONFIRMED,30min,30min,bug
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/search/ElasticSearchService.java,319,HTTP response splitting vulnerability in header value,java:S5131,OPEN,57min,57min,"security,injection"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/model/Attribute.java,493,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,7min,7min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/batch/ProductImportJob.java,175,Optional.get() called without isPresent() check,java:S3655,OPEN,28min,28min,"bug,null-pointer"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/api/AttributeController.java,250,Sensitive data logged to console (password field visible),java:S2068,OPEN,32min,32min,"security,owasp-a9"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/export/CsvExportService.java,576,Method has cognitive complexity of 32 (threshold: 15),java:S3776,OPEN,47min,47min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/util/StringSanitizer.java,77,Integer overflow risk in price calculation,java:S2184,CONFIRMED,32min,32min,"bug,numeric"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/enrichment/AiEnrichmentService.java,629,TODO comment should be resolved before merging,java:S1135,CONFIRMED,16min,16min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/export/CsvExportService.java,618,JWT token validated without expiry check,java:S5659,OPEN,38min,38min,"security,auth"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MINOR,src/batch/ProductImportJob.java,888,Weak hash algorithm MD5 used for product fingerprinting,java:S4790,CONFIRMED,25min,25min,"security,cryptography"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/auth/JwtAuthFilter.java,147,JWT token validated without expiry check,java:S5659,OPEN,51min,51min,"security,auth"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/catalog/ProductCatalogService.java,389,Optional.get() called without isPresent() check,java:S3655,REOPENED,16min,16min,"bug,null-pointer"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/notification/EmailService.java,259,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,5min,5min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/enrichment/ImageProcessingService.java,596,Class has 847 lines of code (threshold: 600),java:S2972,REOPENED,67min,1h 7min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/api/ProductController.java,586,Method name 'ProcessData' does not follow camelCase convention,java:S100,CONFIRMED,8min,8min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/model/Product.java,528,Missing Javadoc on public API method,java:S1176,OPEN,9min,9min,convention
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/model/Category.java,86,Deprecated API usage: HttpServletResponse.encodeUrl(),java:S1874,OPEN,16min,16min,"maintainability,deprecated"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/catalog/ProductRepository.java,214,Class has 847 lines of code (threshold: 600),java:S2972,OPEN,73min,1h 13min,maintainability
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/notification/EmailService.java,758,Race condition in cache invalidation — shared state not synchronized,java:S2276,OPEN,48min,48min,"bug,concurrency"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/util/StringSanitizer.java,460,Deprecated API usage: HttpServletResponse.encodeUrl(),java:S1874,CONFIRMED,18min,18min,"maintainability,deprecated"
2024-09-30T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/model/Category.java,201,SQL injection risk via string concatenation in query builder,java:S3649,CONFIRMED,57min,57min,"security,sql-injection"
