scan_date,project_key,branch,type,severity,file,line,message,rule,status,effort,debt,tags
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MAJOR,src/export/PdfExportService.java,89,JWT token validated without expiry check,java:S5659,OPEN,49min,49min,"security,auth"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MAJOR,src/catalog/ProductRepository.java,654,@Transactional annotation ignored on private method,java:S2229,REOPENED,37min,37min,"bug,spring"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,CRITICAL,src/api/AttributeController.java,174,NullPointerException risk: return value of getProduct() not checked,java:S2259,OPEN,33min,33min,"bug,null-pointer"
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MAJOR,src/sync/ExternalSyncJob.java,598,Method has cognitive complexity of 32 (threshold: 15),java:S3776,CONFIRMED,59min,59min,maintainability
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MAJOR,src/search/ElasticSearchService.java,704,Hardcoded password in configuration class,java:S6437,REOPENED,40min,40min,"security,credentials"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MAJOR,src/api/ProductController.java,423,@Transactional annotation ignored on private method,java:S2229,CONFIRMED,41min,41min,"bug,spring"
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MINOR,src/pricing/PricingCalculator.java,622,TODO comment should be resolved before merging,java:S1135,OPEN,17min,17min,maintainability
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MAJOR,src/api/AttributeController.java,536,XXE vulnerability: XML parser does not disable external entities,java:S2755,OPEN,52min,52min,"security,xxe"
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MAJOR,src/api/AttributeController.java,689,Duplicate code block found in 4 locations,java:S1192,OPEN,45min,45min,"maintainability,duplication"
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MINOR,src/enrichment/AiEnrichmentService.java,341,CSRF protection disabled on non-GET endpoint,java:S4502,OPEN,26min,26min,security
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MINOR,src/pricing/PricingCalculator.java,341,Unused private field 'tempCache' should be removed,java:S1068,REOPENED,16min,16min,maintainability
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MAJOR,src/sync/ExternalSyncJob.java,434,Hardcoded password in configuration class,java:S6437,OPEN,30min,30min,"security,credentials"
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,MINOR,src/config/DatabaseConfig.java,52,CSRF protection disabled on non-GET endpoint,java:S4502,OPEN,17min,17min,security
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MINOR,src/sync/ExternalSyncJob.java,732,Magic number 86400 should be extracted as a named constant,java:S109,OPEN,6min,6min,maintainability
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,INFO,src/auth/JwtAuthFilter.java,386,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,10min,10min,convention
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MAJOR,src/auth/JwtAuthFilter.java,45,@Transactional annotation ignored on private method,java:S2229,OPEN,28min,28min,"bug,spring"
2024-12-09T08:30:00Z,syngenta-pim-core,main,VULNERABILITY,CRITICAL,src/pricing/PricingCalculator.java,876,SQL injection risk via string concatenation in query builder,java:S3649,OPEN,67min,1h 7min,"security,sql-injection"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MINOR,src/sync/ExternalSyncJob.java,405,Optional.get() called without isPresent() check,java:S3655,OPEN,17min,17min,"bug,null-pointer"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MINOR,src/model/Attribute.java,852,Condition always evaluates to true (dead branch),java:S2583,CONFIRMED,25min,25min,bug
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,CRITICAL,src/export/PdfExportService.java,869,NullPointerException risk: return value of getProduct() not checked,java:S2259,REOPENED,40min,40min,"bug,null-pointer"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MAJOR,src/model/Category.java,683,Integer overflow risk in price calculation,java:S2184,REOPENED,17min,17min,"bug,numeric"
2024-12-09T08:30:00Z,syngenta-pim-core,main,BUG,MINOR,src/model/Product.java,714,Optional.get() called without isPresent() check,java:S3655,OPEN,24min,24min,"bug,null-pointer"
2024-12-09T08:30:00Z,syngenta-pim-core,main,CODE_SMELL,MAJOR,src/model/Attribute.java,734,Method has 12 parameters (threshold: 7),java:S107,OPEN,29min,29min,maintainability
