scan_date,project_key,branch,type,severity,file,line,message,rule,status,effort,debt,tags
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/export/CsvExportService.java,668,Magic number 86400 should be extracted as a named constant,java:S109,REOPENED,20min,20min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/auth/JwtAuthFilter.java,550,Incorrect equals() implementation breaks Set deduplication,java:S2162,OPEN,40min,40min,bug
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/enrichment/ImageProcessingService.java,91,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,16min,16min,convention
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/api/CategoryController.java,580,Method has 12 parameters (threshold: 7),java:S107,CONFIRMED,25min,25min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/batch/ProductImportJob.java,631,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,35min,35min,"bug,multi-threading"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/notification/EmailService.java,362,Missing Javadoc on public API method,java:S1176,OPEN,5min,5min,convention
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/config/DatabaseConfig.java,161,Method has cognitive complexity of 32 (threshold: 15),java:S3776,OPEN,43min,43min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/model/Category.java,691,Method has cognitive complexity of 32 (threshold: 15),java:S3776,OPEN,57min,57min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MINOR,src/catalog/ProductRepository.java,495,CSRF protection disabled on non-GET endpoint,java:S4502,OPEN,29min,29min,security
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/batch/ProductImportJob.java,859,Race condition in cache invalidation — shared state not synchronized,java:S2276,REOPENED,45min,45min,"bug,concurrency"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/catalog/CategoryService.java,446,Missing Javadoc on public API method,java:S1176,REOPENED,11min,11min,convention
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/config/DatabaseConfig.java,300,Race condition in cache invalidation — shared state not synchronized,java:S2276,OPEN,39min,39min,"bug,concurrency"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MINOR,src/auth/JwtAuthFilter.java,204,TODO comment should be resolved before merging,java:S1135,OPEN,5min,5min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/api/CategoryController.java,40,Hardcoded password in configuration class,java:S6437,REOPENED,40min,40min,"security,credentials"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/api/AttributeController.java,100,HTTP response splitting vulnerability in header value,java:S5131,OPEN,47min,47min,"security,injection"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,CRITICAL,src/export/CsvExportService.java,790,NullPointerException risk: return value of getProduct() not checked,java:S2259,OPEN,34min,34min,"bug,null-pointer"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/model/Product.java,710,Method has 12 parameters (threshold: 7),java:S107,OPEN,31min,31min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/batch/ProductImportJob.java,864,Cyclomatic complexity 28 exceeds threshold of 20,java:S1541,OPEN,34min,34min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/util/DateUtils.java,111,Deserialization of user-controlled data without validation,java:S4508,OPEN,67min,1h 7min,"security,deserialization"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/catalog/ProductRepository.java,646,Duplicate code block found in 4 locations,java:S1192,OPEN,46min,46min,"maintainability,duplication"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,CRITICAL,src/util/DateUtils.java,459,Resource leak: InputStream opened but never closed,java:S2095,OPEN,45min,45min,"bug,resource-leak"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/api/AttributeController.java,250,Method name 'ProcessData' does not follow camelCase convention,java:S100,OPEN,17min,17min,convention
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/catalog/ProductCatalogService.java,508,Sensitive data logged to console (password field visible),java:S2068,OPEN,35min,35min,"security,owasp-a9"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/api/ProductController.java,258,Optional.get() called without isPresent() check,java:S3655,OPEN,27min,27min,"bug,null-pointer"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MINOR,src/enrichment/AiEnrichmentService.java,347,Optional.get() called without isPresent() check,java:S3655,OPEN,20min,20min,"bug,null-pointer"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,MAJOR,src/auth/JwtAuthFilter.java,499,Thread-unsafe static field modified in multi-threaded context,java:S2885,OPEN,36min,36min,"bug,multi-threading"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,INFO,src/catalog/ProductRepository.java,254,Missing Javadoc on public API method,java:S1176,REOPENED,19min,19min,convention
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,MAJOR,src/config/DatabaseConfig.java,174,Deserialization of user-controlled data without validation,java:S4508,CONFIRMED,55min,55min,"security,deserialization"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,CODE_SMELL,MAJOR,src/api/CategoryController.java,595,Method has 12 parameters (threshold: 7),java:S107,OPEN,41min,41min,maintainability
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,VULNERABILITY,CRITICAL,src/api/AttributeController.java,492,SQL injection risk via string concatenation in query builder,java:S3649,OPEN,60min,1h 0min,"security,sql-injection"
2025-01-27T08:30:00Z,syngenta-pim-core,feature/bulk-import,BUG,CRITICAL,src/api/ProductController.java,729,NullPointerException risk: return value of getProduct() not checked,java:S2259,OPEN,29min,29min,"bug,null-pointer"
